color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(232.5, 37.0)","(0, 0)",0,0,2,30.588096618652344,1312.154052734375,1134.136962890625,1188.999755859375,933.9998779296876,1353.0,1385.0,12709666,0
60#77#26,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-232.5, -37.0)","(0, 0)",0,0,2,30.596004486083984,725.157470703125,1634.718994140625,1188.999755859375,933.9998779296876,686.0,1385.0,12709666,1
65#91#135,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(232.5, 37.0)","(0, 0)",0,0,2,30.57024383544922,1312.05908203125,328.6953430175781,1188.999755859375,933.9998779296876,1353.0,579.5,12709666,0
146#20#124,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-232.5, -37.0)","(0, 0)",0,0,2,30.558338165283203,725.3792114257812,828.8746337890625,1188.999755859375,933.9998779296876,685.5,579.0,12709666,1
82#38#101,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(232.5, 37.0)","(0, 0)",0,0,2,30.586402893066406,2997.13916015625,1134.1455078125,1188.999755859375,933.9998779296876,3038.0,1385.0,12709666,0
58#94#96,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-232.5, -37.0)","(0, 0)",0,0,2,30.596004486083984,2410.037353515625,1634.922119140625,1188.999755859375,933.9998779296876,2370.0,1385.0,12709666,1
118#95#68,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(232.5, 37.0)","(0, 0)",0,0,2,30.570247650146484,2997.01953125,328.7626953125,1188.999755859375,933.9998779296876,3038.0,579.5,12709666,0
146#8#109,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-232.5, -37.0)","(0, 0)",0,0,2,30.558338165283203,2410.37939453125,828.8746337890625,1188.999755859375,933.9998779296876,2370.0,579.0,12709666,1
115#143#119,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(232.5, 37.0)","(0, 0)",0,0,2,30.586402893066406,4682.12939453125,1134.161865234375,1188.999755859375,933.9998779296876,4723.0,1385.0,12709666,0
121#68#135,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-232.5, -37.0)","(0, 0)",0,0,2,30.596004486083984,4094.988037109375,1635.005859375,1188.999755859375,933.9998779296876,4055.0,1385.0,12709666,1
66#74#47,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,4436.5,296.5,1426.0,135.0,4437.0,297.0,12709667,0
27#134#63,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,4436.5,444.5,1426.0,135.0,4437.0,445.0,12709667,0
53#2#133,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,4436.5,592.5,1426.0,135.0,4437.0,593.0,12709667,0
92#120#123,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,4436.5,740.5,1426.0,135.0,4437.0,741.0,12709667,0
133#106#77,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,4436.5,888.5,1426.0,135.0,4437.0,889.0,12709667,0
46#31#114,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,1714.0,1229.0,182.0,6012.5,1714.5,13567225,0
11#133#30,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,1520.0,1229.0,182.0,6012.5,1520.5,13567225,0
38#66#25,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,1325.0,1229.0,182.0,6012.5,1325.5,13567225,0
42#107#107,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,1130.5,1229.0,182.0,6012.5,1131.0,13567225,0
35#62#6,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,936.0,1229.0,182.0,6012.5,936.5,13567225,0
74#21#4,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,741.0,1229.0,182.0,6012.5,741.5,13567225,0
98#149#46,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,547.0,1229.0,182.0,6012.5,547.5,13567225,0
96#3#54,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,352.0,1229.0,182.0,6012.5,352.5,13567225,0
51#52#110,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,6012.0,158.0,1229.0,182.0,6012.5,158.5,13567225,0
122#70#73,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.5, 80.0)","(0, 0)",0,0,2,-0.0,4277.0,123.0,1229.0,182.0,4277.5,123.5,13567225,0
