color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-242.5, -37.0)","(0, 0)",0,0,2,30.588096618652344,5591.845947265625,685.863037109375,1188.999755859375,933.9998779296876,5551.0,435.0,12709666,0
60#77#26,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(242.5, 37.0)","(0, 0)",0,0,2,30.596004486083984,6178.842529296875,185.281005859375,1188.999755859375,933.9998779296876,6218.0,435.0,12709666,1
65#91#135,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-242.5, -37.0)","(0, 0)",0,0,2,30.57024383544922,5591.94091796875,1491.3046569824219,1188.999755859375,933.9998779296876,5551.0,1240.5,12709666,0
146#20#124,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(242.5, 37.0)","(0, 0)",0,0,2,30.558338165283203,6178.620788574219,991.1253662109375,1188.999755859375,933.9998779296876,6218.5,1241.0,12709666,1
82#38#101,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-242.5, -37.0)","(0, 0)",0,0,2,30.586402893066406,3906.86083984375,685.8544921875,1188.999755859375,933.9998779296876,3866.0,435.0,12709666,0
58#94#96,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(242.5, 37.0)","(0, 0)",0,0,2,30.596004486083984,4493.962646484375,185.077880859375,1188.999755859375,933.9998779296876,4534.0,435.0,12709666,1
118#95#68,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-242.5, -37.0)","(0, 0)",0,0,2,30.570247650146484,3906.98046875,1491.2373046875,1188.999755859375,933.9998779296876,3866.0,1240.5,12709666,0
146#8#109,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(242.5, 37.0)","(0, 0)",0,0,2,30.558338165283203,4493.62060546875,991.1253662109375,1188.999755859375,933.9998779296876,4534.0,1241.0,12709666,1
115#143#119,24,120,12,7,157,1,0,0,0,0,0,0,0,0,0,0,"(-242.5, -37.0)","(0, 0)",0,0,2,30.586402893066406,2221.87060546875,685.838134765625,1188.999755859375,933.9998779296876,2181.0,435.0,12709666,0
121#68#135,56,140,7,6,230,2,0,0,0,0,0,0,0,0,0,0,"(242.5, 37.0)","(0, 0)",0,0,2,30.596004486083984,2809.011962890625,184.994140625,1188.999755859375,933.9998779296876,2849.0,435.0,12709666,1
66#74#47,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-80.0, -79.5)","(0, 0)",0,0,2,-0.0,2467.5,1523.5,1426.0,135.0,2467.0,1523.0,12709667,0
