,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,12709666,1351,839.55,10,6904.09,1820
60#77#26,12709666,1351,839.55,10,6904.09,1820
65#91#135,12709666,1351,839.55,10,6904.09,1820
146#20#124,12709666,1351,839.55,10,6904.09,1820
82#38#101,12709666,1351,839.55,10,6904.09,1820
58#94#96,12709666,1351,839.55,10,6904.09,1820
118#95#68,12709666,1351,839.55,10,6904.09,1820
146#8#109,12709666,1351,839.55,10,6904.09,1820
115#143#119,12709666,1351,839.55,10,6904.09,1820
121#68#135,12709666,1351,839.55,10,6904.09,1820
66#74#47,12709667,1427,133,10,6904.09,1820
27#134#63,12709667,1427,133,10,6904.09,1820
53#2#133,12709667,1427,133,10,6904.09,1820
92#120#123,12709667,1427,133,10,6904.09,1820
133#106#77,12709667,1427,133,10,6904.09,1820
46#31#114,13567225,1230.01,180.1,10,6904.09,1820
11#133#30,13567225,1230.01,180.1,10,6904.09,1820
38#66#25,13567225,1230.01,180.1,10,6904.09,1820
42#107#107,13567225,1230.01,180.1,10,6904.09,1820
35#62#6,13567225,1230.01,180.1,10,6904.09,1820
74#21#4,13567225,1230.01,180.1,10,6904.09,1820
98#149#46,13567225,1230.01,180.1,10,6904.09,1820
96#3#54,13567225,1230.01,180.1,10,6904.09,1820
51#52#110,13567225,1230.01,180.1,10,6904.09,1820
122#70#73,13567225,1230.01,180.1,10,6904.09,1820
28#33#139,A820101063039,190,190,10,6904.09,1820
140#19#88,A820101063039,190,190,10,6904.09,1820
138#74#7,A820101063039,190,190,10,6904.09,1820
3#120#28,A820101063039,190,190,10,6904.09,1820
19#54#37,A820101063039,190,190,10,6904.09,1820
146#42#59,A820101063039,190,190,10,6904.09,1820
135#91#149,A820101063039,190,190,10,6904.09,1820
140#85#33,A820101063039,190,190,10,6904.09,1820
84#14#5,A820101063039,190,190,10,6904.09,1820
155#23#131,A820101063039,190,190,10,6904.09,1820
107#109#26,A820101063039,190,190,10,6904.09,1820
53#66#98,A820101063039,190,190,10,6904.09,1820
117#148#134,A820101063039,190,190,10,6904.09,1820
97#85#59,A820101063039,190,190,10,6904.09,1820
28#6#70,A820101063039,190,190,10,6904.09,1820
9#73#36,A820101063039,190,190,10,6904.09,1820
104#133#138,A820101063039,190,190,10,6904.09,1820
69#106#124,A820101063039,190,190,10,6904.09,1820
19#102#10,A820101063039,190,190,10,6904.09,1820
90#16#110,A820101063039,190,190,10,6904.09,1820
140#80#33,12589264,100,100,10,6904.09,1820
17#88#105,12589264,100,100,10,6904.09,1820
127#68#93,12589264,100,100,10,6904.09,1820
62#128#141,12589264,100,100,10,6904.09,1820
68#13#131,12589264,100,100,10,6904.09,1820
55#116#128,12589264,100,100,10,6904.09,1820
35#112#142,12589264,100,100,10,6904.09,1820
23#50#38,12589264,100,100,10,6904.09,1820
143#2#121,12589264,100,100,10,6904.09,1820
10#94#150,12589264,100,100,10,6904.09,1820
148#50#52,A820101062667,100,51,10,6904.09,1820
57#21#117,A820101062667,100,51,10,6904.09,1820
78#72#147,A820101062667,100,51,10,6904.09,1820
126#46#142,A820101062667,100,51,10,6904.09,1820
147#44#16,A820101062667,100,51,10,6904.09,1820
113#113#75,A820101062667,100,51,10,6904.09,1820
121#31#103,A820101062667,100,51,10,6904.09,1820
106#73#73,A820101062667,100,51,10,6904.09,1820
18#79#111,A820101062667,100,51,10,6904.09,1820
19#29#104,A820101062667,100,51,10,6904.09,1820
119#128#28,12589874,100,45,10,6904.09,1820
9#24#42,12589874,100,45,10,6904.09,1820
30#75#117,12589874,100,45,10,6904.09,1820
82#130#2,12589874,100,45,10,6904.09,1820
18#152#47,12589874,100,45,10,6904.09,1820
71#31#128,12589874,100,45,10,6904.09,1820
131#29#81,12589874,100,45,10,6904.09,1820
115#149#111,12589874,100,45,10,6904.09,1820
94#118#99,12589874,100,45,10,6904.09,1820
64#83#50,12589874,100,45,10,6904.09,1820
