,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,HBC004677864,836,178,5,6400,1500
60#77#26,HBC004677864,836,178,5,6400,1500
65#91#135,HBC004677864,836,178,5,6400,1500
146#20#124,HBC004677864,836,178,5,6400,1500
82#38#101,HBC004677864,836,178,5,6400,1500
58#94#96,HBC004677864,836,178,5,6400,1500
118#95#68,HBC004677864,836,178,5,6400,1500
146#8#109,HBC004677864,836,178,5,6400,1500
115#143#119,HBC004677864,836,178,5,6400,1500
121#68#135,HBC004677864,836,178,5,6400,1500
66#74#47,HBC004677864,836,178,5,6400,1500
27#134#63,HBC004677864,836,178,5,6400,1500
