color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.4998779296875, -126.99993896484375)","(0, 0)",0,0,2,-0.0,3742.0,1414.0,1622.999755859375,243.99996948242188,3741.5,1413.5,13321336,0
60#77#26,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.4998779296875, 126.99993896484375)","(0, 0)",0,0,2,-0.0,3742.0,1667.0,1622.999755859375,243.99996948242188,3741.5,1666.5,13321336,1
146#20#124,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.4998779296875, -126.99993896484375)","(0, 0)",0,0,2,-0.0,5377.0,908.0,1622.999755859375,243.99996948242188,5376.5,907.5,13321336,0
82#38#101,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.4998779296875, 126.99993896484375)","(0, 0)",0,0,2,-0.0,5377.0,1161.0,1622.999755859375,243.99996948242188,5376.5,1160.5,13321336,1
118#95#68,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.4998779296875, -126.99993896484375)","(0, 0)",0,0,2,-0.0,5377.0,1414.0,1622.999755859375,243.99996948242188,5376.5,1413.5,13321336,0
146#8#109,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.4998779296875, 126.99993896484375)","(0, 0)",0,0,2,-0.0,5377.0,1667.0,1622.999755859375,243.99996948242188,5376.5,1666.5,13321336,1
121#68#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.4998779296875, -126.99993896484375)","(0, 0)",0,0,2,-0.0,3742.0,908.0,1622.999755859375,243.99996948242188,3741.5,907.5,13321336,0
66#74#47,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.4998779296875, 126.99993896484375)","(0, 0)",0,0,2,-0.0,3742.0,1161.0,1622.999755859375,243.99996948242188,3741.5,1160.5,13321336,1
107#109#26,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.4998779296875, 126.99993896484375)","(0, 0)",0,0,2,-0.0,2107.0,1667.0,1622.999755859375,243.99996948242188,2106.5,1666.5,13321336,1
65#91#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-60.5, -85.0)","(0, 0)",0,0,2,-0.0,3735.0,1526.0,1367.0,132.0,3734.5,1525.5,12925995,0
58#94#96,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-60.5, -85.0)","(0, 0)",0,0,2,-0.0,5370.0,1020.0,1367.0,132.0,5369.5,1019.5,12925995,0
115#143#119,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-60.5, -85.0)","(0, 0)",0,0,2,-0.0,5370.0,1526.0,1367.0,132.0,5369.5,1525.5,12925995,0
27#134#63,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-60.5, -85.0)","(0, 0)",0,0,2,-0.0,3735.0,1020.0,1367.0,132.0,3734.5,1019.5,12925995,0
53#2#133,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 61.5)","(0, 0)",0,0,2,-0.0,5377.0001220703125,130.5,1621.999755859375,176.99996948242188,5376.5,130.0,13321326,1
92#120#123,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -61.5)","(0, 0)",0,0,2,-0.0,5377.0001220703125,316.5001220703125,1621.999755859375,176.99996948242188,5376.5,316.0,13321326,0
38#66#25,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 61.5)","(0, 0)",0,0,2,-0.0,5377.0001220703125,502.5001220703125,1621.999755859375,176.99996948242188,5376.5,502.0,13321326,1
42#107#107,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -61.5)","(0, 0)",0,0,2,-0.0,5377.0001220703125,688.5001220703125,1621.999755859375,176.99996948242188,5376.5,688.0,13321326,0
51#52#110,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 61.5)","(0, 0)",0,0,2,-0.0,3742.0,502.5001220703125,1621.999755859375,176.99996948242188,3741.5,502.0,13321326,1
122#70#73,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -61.5)","(0, 0)",0,0,2,-0.0,3742.0,688.5001220703125,1621.999755859375,176.99996948242188,3741.5,688.0,13321326,0
19#54#37,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 61.5)","(0, 0)",0,0,2,-0.0,3742.0,130.5,1621.999755859375,176.99996948242188,3741.5,130.0,13321326,1
146#42#59,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -61.5)","(0, 0)",0,0,2,-0.0,3742.0,316.5001220703125,1621.999755859375,176.99996948242188,3741.5,316.0,13321326,0
53#66#98,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 61.5)","(0, 0)",0,0,2,-0.0,2107.0,1447.5000610351562,1621.999755859375,176.99996948242188,2106.5,1447.0,13321326,1
117#148#134,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.4998779296875, -84.0)","(0, 0)",0,0,2,-0.0,2101.0,1575.0,1366.999755859375,121.99998474121094,2100.5,1574.5,12925992,0
97#85#59,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.4998779296875, -84.0)","(0, 0)",0,0,2,-0.0,2221.0,1003.0,1366.999755859375,121.99998474121094,2220.5,1002.5,12925992,0
28#6#70,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.4998779296875, -84.0)","(0, 0)",0,0,2,-0.0,2221.0,1146.0,1366.999755859375,121.99998474121094,2220.5,1145.5,12925992,0
9#73#36,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.4998779296875, -84.0)","(0, 0)",0,0,2,-0.0,2221.0,1289.0,1366.999755859375,121.99998474121094,2220.5,1288.5,12925992,0
