,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,BCB004745006,411,314,16,8000,2300
60#77#26,BCB004745006,411,314,16,8000,2300
65#91#135,BCB004745006,411,314,16,8000,2300
146#20#124,BCB004745006,411,314,16,8000,2300
82#38#101,BCB004745006,411,314,16,8000,2300
58#94#96,BCB004745006,411,314,16,8000,2300
118#95#68,BCB004745006,411,314,16,8000,2300
146#8#109,BCB004745006,411,314,16,8000,2300
115#143#119,BCB004745006,411,314,16,8000,2300
121#68#135,BCB004745006,411,314,16,8000,2300
66#74#47,BCB004745006,411,314,16,8000,2300
27#134#63,BCB004745006,411,314,16,8000,2300
53#2#133,BCB004745006,411,314,16,8000,2300
92#120#123,BCB004745006,411,314,16,8000,2300
133#106#77,BCB004745006,411,314,16,8000,2300
46#31#114,BCB004745006,411,314,16,8000,2300
11#133#30,BCB004745006,411,314,16,8000,2300
38#66#25,BCB004745006,411,314,16,8000,2300
42#107#107,BCB004745006,411,314,16,8000,2300
35#62#6,BCB004745006,411,314,16,8000,2300
74#21#4,BCB004745006,411,314,16,8000,2300
98#149#46,BCB004745006,411,314,16,8000,2300
96#3#54,BCB004745006,411,314,16,8000,2300
51#52#110,BCB004745006,411,314,16,8000,2300
122#70#73,BCB004745006,411,314,16,8000,2300
28#33#139,BCB004745006,411,314,16,8000,2300
140#19#88,BCB004745006,411,314,16,8000,2300
138#74#7,BCB004745006,411,314,16,8000,2300
3#120#28,BCB004745006,411,314,16,8000,2300
19#54#37,BCB004745006,411,314,16,8000,2300
146#42#59,11054864,267.1,254,16,8000,2300
135#91#149,11054864,267.1,254,16,8000,2300
140#85#33,11054864,267.1,254,16,8000,2300
