color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-49.5, -38.0)","(0, 0)",0,0,2,-0.0,670.0,1679.0,1318.0,224.0,670.5,1679.5,13094465,0
60#77#26,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(49.5, 38.0)","(0, 0)",0,0,2,-0.0,669.5,1429.0,1318.0,224.0,670.0,1429.5,13094465,1
146#20#124,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-49.5, -38.0)","(0, 0)",0,0,2,-0.0,669.5,1197.0,1318.0,224.0,670.0,1197.5,13094465,0
65#91#135,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.5001220703125, 88.00006103515625)","(0, 0)",0,0,2,-0.0,664.9998779296875,1550.9998779296875,1047.0,200.0,665.5,1551.5,13529529,0
82#38#101,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.5001220703125, 88.00006103515625)","(0, 0)",0,0,2,-0.0,664.9998779296875,1068.0,1047.0,200.0,665.5,1068.5,13529529,0
27#134#63,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.5001220703125, 88.00006103515625)","(0, 0)",0,0,2,-0.0,533.9998779296875,854.9999389648438,1047.0,200.0,534.5,855.5,13529529,0
58#94#96,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-48.609619140625, 106.2354736328125)","(0, 0)",0,0,2,-0.377768874168396,1766.650146484375,738.0848388671875,954.92822265625,278.5654296875,1766.5,737.0,11519035,0
146#8#109,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-48.609619140625, 106.2354736328125)","(0, 0)",0,0,2,-0.377768874168396,1766.6534423828125,1106.60791015625,954.92822265625,278.5654296875,1766.5,1105.5,11519035,0
121#68#135,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-48.609619140625, 106.2354736328125)","(0, 0)",0,0,2,-0.3781844675540924,1768.150634765625,1474.0865478515625,954.92822265625,278.5654296875,1768.0,1473.0,11519035,0
118#95#68,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.889892578125, 105.75750732421875)","(0, 0)",0,0,2,-9.493393898010254,1799.8701171875,910.3930053710938,954.0828857421876,279.4444580078125,1784.0,876.0,11519040,0
115#143#119,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.889892578125, 105.75750732421875)","(0, 0)",0,0,2,-9.555520057678223,1799.9615478515625,1278.788330078125,954.0828857421876,279.4444580078125,1784.0,1244.0,11519040,0
66#74#47,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.889892578125, 105.75750732421875)","(0, 0)",0,0,2,-9.483013153076172,1801.913818359375,1646.2626953125,954.0828857421876,279.4444580078125,1786.0,1611.5,11519040,0
