color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,255,115,254,255,19,0,0,0,255,255,255,255,31,0,0,0,"(-992.0, 106.0)","(1101.0, 73.0)",0,0,3,-3.621182441711426,1821.079833984375,322.86248779296875,3650.0,570.0,1822.0,329.0,SKT100A.6A.1.1-11,1
60#77#26,255,127,252,255,31,0,0,0,231,255,0,255,31,0,0,0,"(-1100.0, 87.0)","(993.0, 54.0)",0,0,3,-3.6136293411254883,1833.9384765625,830.4403686523438,3650.0,570.0,1834.0,825.0,SKT100A.6A.1.1-11,0
65#91#135,255,127,252,255,31,0,0,0,231,255,0,255,31,0,0,0,"(-1100.0, 87.0)","(993.0, 54.0)",0,0,3,-3.622387409210205,1833.9403076171875,1324.95458984375,3650.0,570.0,1834.0,1319.5,SKT100A.6A.1.1-11,0
146#20#124,255,127,252,255,31,0,0,0,231,255,0,255,31,0,0,0,"(-1100.0, 87.0)","(993.0, 54.0)",0,0,3,-3.6136293411254883,1833.928466796875,1819.282958984375,3650.0,570.0,1834.0,1814.0,SKT100A.6A.1.1-11,0
28#33#139,136,8,236,6,2,0,0,0,0,0,0,0,0,0,0,0,"(0.5, 79.5)","(0, 0)",0,0,2,-0.0,5641.0,477.5,1119.0,481.0,5641.5,478.0,SKT100.6A.1.1-16,0
135#91#149,192,0,240,1,194,7,0,0,0,0,0,0,0,0,0,0,"(61.5, 281.5)","(0, 0)",0,0,2,-0.0,4446.0,1809.5,2157.99951171875,1154.999755859375,4446.5,1810.0,SKT100.6A.1.1-23,0
140#85#33,0,7,0,3,14,2,0,0,0,0,0,0,0,0,0,0,"(-219.499755859375, -201.499755859375)","(0, 0)",0,0,2,0.0,4751.0,589.5,2157.99951171875,1154.999755859375,4751.5,590.0,SKT100.6A.1.1-23,1
84#14#5,192,0,240,1,194,7,0,0,0,0,0,0,0,0,0,0,"(61.5, 281.5)","(0, 0)",0,0,2,-0.0,5696.5,1325.5,2157.99951171875,1154.999755859375,5697.0,1326.0,SKT100.6A.1.1-23,0
155#23#131,192,0,240,1,194,7,0,0,0,0,0,0,0,0,0,0,"(61.5, 281.5)","(0, 0)",0,0,2,-0.0,6853.0,1811.5,2157.99951171875,1154.999755859375,6853.5,1812.0,SKT100.6A.1.1-23,0
107#109#26,0,3,128,1,15,2,0,0,0,0,0,0,0,0,0,0,"(-179.999755859375, -204.999755859375)","(0, 0)",0,0,2,0.0,6907.5,614.0,2157.99951171875,1154.999755859375,6908.0,614.5,SKT100.6A.1.1-23,1
