color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,255,127,252,255,31,0,0,0,231,255,0,255,31,0,0,0,"(-1101.0, 87.0)","(992.0, 54.0)",0,0,3,-3.621182441711426,6178.920166015625,2077.1375122070312,3650.0,570.0,6178.0,2071.0,SKT100A.6A.1.1-11,1
60#77#26,255,115,254,255,19,0,0,0,255,255,255,255,31,0,0,0,"(-993.0, 106.0)","(1100.0, 73.0)",0,0,3,-3.6136293411254883,6166.0615234375,1569.5596313476562,3650.0,570.0,6166.0,1575.0,SKT100A.6A.1.1-11,0
65#91#135,255,115,254,255,19,0,0,0,255,255,255,255,31,0,0,0,"(-993.0, 106.0)","(1100.0, 73.0)",0,0,3,-3.622387409210205,6166.0596923828125,1075.04541015625,3650.0,570.0,6166.0,1080.5,SKT100A.6A.1.1-11,0
146#20#124,255,115,254,255,19,0,0,0,255,255,255,255,31,0,0,0,"(-993.0, 106.0)","(1100.0, 73.0)",0,0,3,-3.6136293411254883,6166.071533203125,580.717041015625,3650.0,570.0,6166.0,586.0,SKT100A.6A.1.1-11,0
28#33#139,136,8,236,6,2,0,0,0,0,0,0,0,0,0,0,0,"(-0.5, 80.5)","(0, 0)",0,0,2,-0.0,2359.0,1922.5,1119.0,481.0,2358.5,1922.0,SKT100.6A.1.1-16,0
135#91#149,0,7,0,3,14,2,0,0,0,0,0,0,0,0,0,0,"(-221.5, -201.5)","(0, 0)",0,0,2,-0.0,3554.0,590.5,2157.99951171875,1154.999755859375,3553.5,590.0,SKT100.6A.1.1-23,0
140#85#33,192,0,240,1,194,7,0,0,0,0,0,0,0,0,0,0,"(59.500244140625, 281.500244140625)","(0, 0)",0,0,2,0.0,3249.0,1810.5,2157.99951171875,1154.999755859375,3248.5,1810.0,SKT100.6A.1.1-23,1
84#14#5,0,7,0,3,14,2,0,0,0,0,0,0,0,0,0,0,"(-221.5, -201.5)","(0, 0)",0,0,2,-0.0,2303.5,1074.5,2157.99951171875,1154.999755859375,2303.0,1074.0,SKT100.6A.1.1-23,0
155#23#131,0,7,0,3,14,2,0,0,0,0,0,0,0,0,0,0,"(-221.5, -201.5)","(0, 0)",0,0,2,-0.0,1147.0,588.5,2157.99951171875,1154.999755859375,1146.5,588.0,SKT100.6A.1.1-23,0
107#109#26,96,0,252,0,224,7,0,0,0,0,0,0,0,0,0,0,"(160.000244140625, 285.000244140625)","(0, 0)",0,0,2,0.0,1092.5,1786.0,2157.99951171875,1154.999755859375,1092.0,1785.5,SKT100.6A.1.1-23,1
